year,state,new_cases,new_deaths
2021,AK,110058,755
2021,AL,548065,11515
2021,AR,347831,4667
2021,AS,11,0
2021,AZ,844882,15126
2021,CA,3250361,48830
2021,CO,673094,5402
2021,CT,355358,3051
2021,DC,76337,416
2021,DE,131014,1268
2021,FL,2878972,40154
2021,FSM,7,0
2021,GA,1215100,20355
2021,GU,12973,149
2021,HI,104531,756
2021,IA,301251,3959
2021,ID,177855,2704
2021,IL,1296157,12681
2021,IN,760251,9413
2021,KS,311747,4023
2021,KY,631608,9484
2021,LA,546036,7343
2021,MA,819301,7089
2021,MD,495480,5861
2021,ME,123220,1208
2021,MI,1257240,15995
2021,MN,622187,4815
2021,MO,602540,8607
2021,MP,3393,16
2021,MS,344459,5490
2021,MT,116498,1896
2021,NC,1208658,11459
2021,ND,83985,669
2021,NE,182199,1606
2021,NH,159235,1197
2021,NJ,1151681,9686
2021,NM,211645,3292
2021,NV,264581,5192
2021,NY,1463962,10883
2021,NYC,1283828,10353
2021,OH,1370007,17959
2021,OK,412951,9011
2021,OR,321425,4161
2021,PA,1457803,20058
2021,PR,233279,1736
2021,PW,19,0
2021,RI,157151,1207
2021,RMI,0,0
2021,SC,685200,9132
2021,SD,83606,989
2021,TN,870339,13529
2021,TX,3087003,46450
2021,UT,368481,2533
2021,VA,809578,10392
2021,VI,9054,65
2021,VT,59111,339
2021,WA,651120,6306
2021,WI,620051,5885
2021,WV,247926,3891
2021,WY,72956,1107
