year,state,new_cases,new_deaths
2023,AK,9094,50
2023,AL,72712,362
2023,AR,26574,421
2023,AS,65,0
2023,AZ,66483,1140
2023,CA,381405,3859
2023,CO,43102,499
2023,CT,31526,534
2023,DC,4345,24
2023,DE,10188,131
2023,FL,255028,3120
2023,FSM,4384,6
2023,GA,81938,1267
2023,GU,1555,4
2023,HI,13806,124
2023,IA,20272,335
2023,ID,13393,163
2023,IL,156095,1228
2023,IN,64415,888
2023,KS,26325,461
2023,KY,67615,926
2023,LA,66365,577
2023,MA,75341,1548
2023,MD,56442,734
2023,ME,15907,248
2023,MI,107915,2038
2023,MN,56392,585
2023,MO,60507,612
2023,MP,493,3
2023,MS,39492,362
2023,MT,10008,93
2023,NC,141608,1360
2023,ND,10515,85
2023,NE,18625,369
2023,NH,13270,186
2023,NJ,134225,563
2023,NM,21096,406
2023,NV,19919,247
2023,NY,126039,1268
2023,NYC,126510,1150
2023,OH,133890,1280
2023,OK,56476,765
2023,OR,33735,526
2023,PA,127470,2013
2023,PR,65155,353
2023,PW,29,0
2023,RI,12880,117
2023,RMI,537,0
2023,SC,71370,1074
2023,SD,10531,107
2023,TN,95826,898
2023,TX,282658,2086
2023,UT,20788,173
2023,VA,99027,702
2023,VI,1174,4
2023,VT,5559,89
2023,WA,68180,1065
2023,WI,65850,765
2023,WV,23883,438
2023,WY,3983,73
